"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","Females Adults (15+) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","31453",""
"Colombia","Females Adults (15+) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","32379",""
"Colombia","Females Adults (15+) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","33299",""
"Colombia","Females Adults (15+) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","34244",""
"Colombia","Females Adults (15+) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","35030",""
"Colombia","Females Adults (15+) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","35699",""
"Colombia","Females Adults (15+) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","36104",""
"Colombia","Females Adults (15+) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","36475",""
"Colombia","Females Adults (15+) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","36823",""
"Colombia","Females Adults (15+) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","36726",""
"Colombia","Females Adults (15+) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","36352",""
"Colombia","Females Adults (15+) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","35562",""
"Colombia","Females Adults (15+) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","34281",""
"Colombia","Females Adults (15+) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","32013",""
"Colombia","Females Adults (15+) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","29084",""
"Colombia","Females Adults (15+) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","25609",""
"Colombia","Females Adults (15+) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","22167",""
"Colombia","Females Adults (15+) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","18621",""
"Colombia","Females Adults (15+) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","15464",""
